Código , Descripción,2007 R/,,,,,2008,,,,,2009,,,,,2010,,,,,2011,,,,,2012,,,,,2013,,,,,2014,,,,,2015,,,,,2016,,,,,2017,,,,,2018 P/,,,,,,,,,,,,,,,,,,,,,,,,,
,,I,II,III,IV,,I,II,III,IV,,I,II,III,IV,,I,II,III,IV,,I,II,III,IV,,I,II,III,IV,,I,II,III,IV,,I,II,III,IV,,I,II,III,IV,,I,II,III,IV,,I,II,III,IV,,I,II,III,IV,,,,,,,,,,,,,,,,,,,,,,
333,Fabricación de maquinaria y equipo,1 777 543,2 038 074,1 979 383,1 891 276,,1 856 327,2 038 442,2 097 689,1 820 334,,1 415 341,1 308 676,1 306 569,1 338 628,,1 638 793,2 047 961,2 045 882,2 083 522,,2 529 610,2 871 857,2 883 583,2 719 028,,2 843 063,3 258 493,2 850 743,2 851 755,,2 824 948,3 266 382,3 068 352,3 194 086,,2 982 633,3 478 301,3 357 398,3 443 519,,3 398 423,4 015 163,3 605 740,3 575 124,,3 461 068,3 885 416,3 480 783,3 445 610,,3 600 566,4 165 014,4 108 815,4 037 875,,3 916 698,4 598 703,4 393 381,4 497 300,,,,,,,,,,,,,,,,,,,,,,
334,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",12 616 355,13 991 224,15 781 731,17 325 014,,14 262 792,16 726 475,17 606 436,14 931 911,,11 807 961,12 525 548,13 460 936,15 602 397,,13 328 494,16 139 291,16 956 135,17 950 209,,13 974 885,15 503 237,15 574 617,16 406 200,,14 884 455,16 649 612,15 900 585,18 732 830,,13 862 665,16 593 510,17 572 195,18 420 541,,13 890 073,16 469 060,16 752 642,19 403 915,,14 069 055,14 779 451,16 123 411,17 537 925,,12 004 717,14 048 669,16 093 419,16 203 761,,13 311 266,15 259 895,15 837 776,17 748 291,,13 325 448,15 709 991,16 393 748,19 085 176,,,,,,,,,,,,,,,,,,,,,,
335,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",3 205 156,3 687 028,3 614 006,3 560 410,,3 508 605,4 331 786,4 485 409,3 562 520,,2 857 966,3 268 602,3 354 505,3 400 651,,3 376 063,4 059 113,3 928 796,3 684 179,,3 509 957,3 903 886,3 659 913,3 419 942,,3 688 746,4 203 016,4 076 436,4 091 385,,3 721 664,4 123 138,4 211 904,4 380 971,,4 113 507,4 730 246,4 940 357,4 984 906,,4 620 955,5 445 356,5 604 020,5 408 301,,4 821 476,5 501 190,5 580 755,5 475 700,,4 910 652,5 684 054,5 765 398,5 950 382,,5 114 120,5 919 561,5 945 402,6 310 094,,,,,,,,,,,,,,,,,,,,,,
336,Fabricación de equipo de transporte,12 932 156,14 684 247,16 322 374,17 012 732,,16 174 456,17 127 461,15 907 490,14 671 233,,9 303 587,9 908 688,12 057 125,15 470 242,,15 739 247,17 362 739,17 622 839,19 009 952,,19 557 716,21 023 331,21 431 132,22 479 659,,22 610 196,25 050 663,24 288 915,25 611 802,,24 423 419,27 785 833,27 784 060,28 238 278,,27 908 478,31 834 804,32 209 715,33 102 422,,31 427 881,34 921 485,33 656 815,33 672 239,,31 015 698,33 207 314,32 793 164,34 936 536,,33 383 261,36 481 022,36 031 418,38 825 070,,38 002 308,39 769 993,41 389 435,42 536 869,,,,,,,,,,,,,,,,,,,,,,
337,"Fabricación de muebles, colchones y persianas", 307 160, 334 582, 332 438, 344 349,, 302 944, 359 796, 362 170, 313 590,, 262 400, 279 673, 287 305, 302 932,, 294 494, 335 336, 328 678, 350 054,, 293 248, 354 461, 358 658, 345 792,, 312 579, 381 155, 397 173, 405 527,, 367 029, 451 956, 463 610, 481 459,, 392 081, 475 771, 481 947, 513 528,, 445 056, 528 410, 544 999, 526 142,, 458 890, 512 594, 523 578, 539 982,, 484 267, 556 120, 567 900, 582 959,, 511 679, 577 575, 585 935, 620 220,,,,,,,,,,,,,,,,,,,,,,
339,Otras industrias manufactureras,1 712 793,2 007 954,2 092 399,2 204 415,,1 902 448,2 193 281,2 330 203,2 202 636,,1 965 195,2 107 308,2 163 747,2 230 265,,2 309 405,2 602 732,2 612 280,2 458 834,,2 781 821,2 985 628,3 002 453,2 767 237,,2 741 344,2 923 941,3 065 689,3 195 550,,3 053 598,3 285 766,3 272 558,3 516 091,,3 257 326,3 697 995,3 882 084,4 014 967,,3 527 853,3 915 936,3 949 211,4 039 782,,3 592 457,4 028 854,3 982 137,3 975 963,,3 449 866,3 806 231,3 831 287,3 936 291,,3 704 160,4 122 292,4 116 141,4 231 770,,,,,,,,,,,,,,,,,,,,,,
"Nota: El desglose de subsectores dependerá de la existencia de la actividad económica en la entidad respectiva y de la aplicación del principio de confidencialidad.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La suma de los parciales puede no coincidir con el total debido al redondeo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R/ cifras revisadas a partir de la fecha que se indica.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P/ cifras preliminares a partir de la fecha que se indica.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Exportaciones Trimestrales por Entidad Federativa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
